"FIPS","state","county","votech","prod_bush","GDP2015","medinc1317","perc_HS_GED","totpop1317","urb2010","perclatino1317","trumpmarg"
46019,"SD","butte county",-2.22151885365575,27606,247076,44786,0.410933485583785,10194,0,0.0350206003531489,0.612517257248044
46021,"SD","campbell county",0.142580519573665,961824,78836,51548,0.408799266727773,1443,0,0.00138600138600139,0.720818291215403
46023,"SD","charles mix county",-5.22151196493716,2563106,406397,44104,0.375848268661911,9319,0,0.0306899881961584,0.421497232741043
46025,"SD","clark county",6.48520899677542,4659628,158564,47500,0.404918032786885,3642,0,0.0181219110378913,0.447193723596862
46027,"SD","clay county",-5.24915967462789,1909644,589140,41773,0.224043715846995,13907,0,0.0273962752570648,-0.0984415072006313
46029,"SD","codington county",2.70057314902946,2459477,1363719,52025,0.368678283042924,27963,0,0.0210277867181633,0.393349901448282
46031,"SD","corson county",-8.71184329624504,35766,93380,32260,0.34227607096495,4177,0,0.00742159444577448,0.0451063829787234
46033,"SD","custer county",-2.95113481250532,0,219889,56449,0.315328683780976,8519,0,0.0304026294165982,0.460135708227311
46035,"SD","davison county",3.43254495320319,1490817,1069933,48665,0.285380205190103,19753,0,0.0245026071989065,0.352364185110664
46037,"SD","day county",1.97580197580197,4449745,260249,43902,0.396849212303076,5524,0,0.0200941346850109,0.23771386967601
46039,"SD","deuel county",0.374321880650996,2107846,214434,57969,0.4157824933687,4282,0,0.0275572162540869,0.382692307692308
46041,"SD","dewey county",-6.88383668415827,0,161792,41190,0.362403100775194,5709,0,0.0131371518654756,-0.096074985354423
46043,"SD","douglas county",-1.37613820888888,1385870,186005,52543,0.343385214007782,2940,0,0.00578231292517007,0.700311526479751
46045,"SD","edmunds county",-2.67886073643745,5301230,223341,65380,0.360132158590308,3971,0,0.017124150088139,0.549009384775808
46047,"SD","fall river county",-2.61205503470746,0,299545,48862,0.31322505800464,6783,0,0.0395105410585287,0.474319393769295
46049,"SD","faulk county",1.78900891959639,3875618,131583,46750,0.34375,2327,0,0.0116029222174474,0.584973166368515
46051,"SD","grant county",0.640005482497885,3238348,532778,56276,0.417943107221007,7133,0,0.018225150707977,0.396125772038181
46053,"SD","gregory county",-0.953846367108169,815907,142992,42679,0.350421585160202,4209,0,0.0147303397481587,0.57819225251076
46055,"SD","haakon county",-2.28349498124248,0,89471,38873,0.394572025052192,2084,0,0.00527831094049904,0.8227969348659
46057,"SD","hamlin county",-0.239593327720167,3442432,210884,61784,0.424887892376682,5911,0,0.0367112163762477,0.541636495293266
46059,"SD","hand county",-1.90766041326808,3640098,214807,50720,0.31541066892464,3303,0,0.0072661217075386,0.581408140814081
46061,"SD","hanson county",-7.739800019689,2032491,99559,62448,0.36280193236715,3404,0,0,0.534895314057827
46063,"SD","harding county",-4.00072027370401,0,63782,55972,0.310305775764439,1281,0,0.0179547228727557,0.853055916775032
46065,"SD","hughes county",2.00312586691657,642578,1267168,59741,0.274605003291639,17572,0,0.0294787161393125,0.333414902728496
